screen_name,id,created_at,trucated text
UnknownSkin,1460677020799672323,2021-11-16 18:31:54,b'@Lovely__Wilma #wnw'
JantineBrx,1460671440336863236,2021-11-16 18:09:43,b'@Mia_Leeuwin @ErikDeVlieger1 @ShallWeCallMe @RobBuiters @M_the_Lion @RPadvinder @VanVidere @Build4G @Lovely__Wilma\xe2\x80\xa6 https://t.co/RescBhM9pI'
MeesterEddy,1460671027558629384,2021-11-16 18:08:05,b'#wnw https://t.co/mGOaF1V30l https://t.co/4AuIQLgSt9'
MeesterEddy,1460670810214051847,2021-11-16 18:07:13,b'@CorneliusFVD @RedRiding65 @mevrouwadvocaat @SigridKaag #wnw https://t.co/SChYpIF4eK'
HelemaalRens,1460670787573231633,2021-11-16 18:07:08,b'@SomalianLP @Humble_Analysis @hejost67 #WNW'
endtime_living,1460666479595208714,2021-11-16 17:50:01,"b""RT @BroksTricky: And that's the spirit.\nDie schapen krijgen we toch niet meer wakker zijn onze aandacht niet waard en verspillen onze tijd.\xe2\x80\xa6"""
Ikke90224020,1460664924343046152,2021-11-16 17:43:50,"b""RT @BroksTricky: And that's the spirit.\nDie schapen krijgen we toch niet meer wakker zijn onze aandacht niet waard en verspillen onze tijd.\xe2\x80\xa6"""
RWeerdmeester,1460663712990306307,2021-11-16 17:39:01,b'@Kliermuis1 @NDikkeboom @2eKamertweets #wnw'
amadeu_wolfgang,1460660687550783494,2021-11-16 17:27:00,b'Wat doen jullie zoal tijdens de #wnw?\nIk heb een huisje uitgezocht. Ik dacht w\xc3\xa8l: ik wil een beetje bij Poempie in\xe2\x80\xa6 https://t.co/Yrhzo6pU3e'
WittgensteinsR,1460657312050335751,2021-11-16 17:13:35,b'@JordyVersteeg @roelgrif @op1npo @MarcBonten #WNW https://t.co/mIFV85CiqU'
RudieBdeV,1460657068285865998,2021-11-16 17:12:37,b'@ShopFashion24 @Justin_DigiT #wnw'
WittgensteinsR,1460656909871108096,2021-11-16 17:11:59,b'@JordyVersteeg @roelgrif @op1npo @MarcBonten #WNW https://t.co/lMOhn881GP'
RudieBdeV,1460656900454891526,2021-11-16 17:11:57,b'@marizzzje83 @Justin_DigiT @ShopFashion24 #wnw'
Jeroen_TRC,1460656057940955136,2021-11-16 17:08:36,b'@veen_els #wnw https://t.co/xtFRDkqC81'
mark_vdijk,1460655082211622913,2021-11-16 17:04:43,b'RT @max_sand_: #coronadebat #BaudetHeeftGelijk #2GRegel #WNW #2g #formatie #wef \n\nLekker debat\xe2\x80\xa6. Er wordt zo makkelijk over 2G gesproken al\xe2\x80\xa6'
max_sand_,1460654984018731009,2021-11-16 17:04:20,b'#coronadebat #BaudetHeeftGelijk #2GRegel #WNW #2g #formatie #wef \n\nLekker debat\xe2\x80\xa6. Er wordt zo makkelijk over 2G ges\xe2\x80\xa6 https://t.co/3LAMfZBXJ8'
Jeroen_TRC,1460653666516582401,2021-11-16 16:59:06,b'@LindaLu_54 #wnw https://t.co/EG9mIQImEk'
Jeroen_TRC,1460652865953935372,2021-11-16 16:55:55,b'@KakvrijDenHaag #wnw https://t.co/t0b5AMfNJg'
Jeroen_TRC,1460652184748634112,2021-11-16 16:53:13,b'@PlugHuig #wnw https://t.co/fYrcPWDRDc'
Jeroen_TRC,1460651842879336455,2021-11-16 16:51:51,b'@karint7701 @annagret1974 @William93105180 #wnw https://t.co/dHeCmD27g9'
belsammael,1460651352414199823,2021-11-16 16:49:54,"b'@Fenix581042881 @PierreRobben @NUnl #wnw , twee voor de prijs van een https://t.co/WzhJ3tv4RL'"
NathalieJBP,1460651347385200646,2021-11-16 16:49:53,b'@KakvrijDenHaag #wnw'
Stiefloeder1,1460651291873587209,2021-11-16 16:49:40,b'@ShopFashion24 @Peter13596982 @knorretje008 #wnw'
mevrouw_Judith,1460649314930372617,2021-11-16 16:41:48,b'@marizzzje83 @Justin_DigiT @ShopFashion24 #wnw'
mevrouw_Judith,1460648899224420355,2021-11-16 16:40:09,b'@ShopFashion24 #wnw \n\nTrouwens:\n#BaudetHeeftGeenGelijk'
Jennitje07,1460647373076635653,2021-11-16 16:34:05,b'@dancalegria #WNW'
HaddockIsBoos,1460647034923491330,2021-11-16 16:32:45,b'@Doornbosch_ @overveenerick #wnw https://t.co/KGDlURnVo1'
HaddockIsBoos,1460646870850617345,2021-11-16 16:32:06,b'@Joep68723925 @Ronaldvk90 @corja22 @PostvanFenna NEC....NEC!!!! #wnw https://t.co/QsZZc6QjgY'
B1r9i8a6n,1460646502674665475,2021-11-16 16:30:38,b'@annstrikje Ugh... #WNW https://t.co/vdJGoX3ftl'
belsammael,1460644632086429696,2021-11-16 16:23:12,b'@Oreothepus @NUnl #wnw https://t.co/5bCX1D4Qap'
benniebenwel,1460643476392091655,2021-11-16 16:18:36,"b'@wappiehoekje #wnw , ik bemoei me er niet mee deze week'"
earth_planeteer,1460641617879183371,2021-11-16 16:11:13,"b'@xJuul98 @thierrybaudet Vermoeiend, bye #wnw'"
MoerkerkG,1460640433252573188,2021-11-16 16:06:31,b'@KakvrijDenHaag #wnw'
Remonus,1460639575085395977,2021-11-16 16:03:06,b'RT @DebunkerDutch: Dingen die vrijwel onmogelijk zijn: \n- een eenhoorn in het wild vangen \n- na een dieet op gewicht blijven\n- willem Engel\xe2\x80\xa6'
belsammael,1460638443621560323,2021-11-16 15:58:36,b'@SalwoPatrizio @NUnl Al die herrie van de Forumland buren.. #wnw https://t.co/55kZJFJQDZ'
ThomasInLeiden,1460637616471252993,2021-11-16 15:55:19,b'@RudiCarrellStan @prochange1 Ik ook:\n#BaudetHeeftGeenGelijk \xc3\xa9n #wnw moet trending!'
4Cycling,1460635357326753803,2021-11-16 15:46:21,b'Zijn alle #wappies en andere idioten al weg van Twitter? #WNW https://t.co/ofOV0d6Je9'
ErikDeVlieger1,1460635315924873219,2021-11-16 15:46:11,b'@ontevreden16 @plastuitje @KAFKA_Dev #wnw https://t.co/HXD4byKooJ'
belsammael,1460634136931180551,2021-11-16 15:41:30,b'@ViktorVerkist @NUnl #wnw https://t.co/31yezLGNKH'
villastokroos,1460633460477992964,2021-11-16 15:38:48,b'@crypto2themoon #wnw https://t.co/AEUnmBdnek'
ErikDeVlieger1,1460633447446286340,2021-11-16 15:38:45,b'@SebastiaanMans @maan_schev @y_gokay @thierrybaudet #wnw https://t.co/uTZbxCfg5O'
Joeli57,1460632486980071432,2021-11-16 15:34:56,"b'@TbMoneyyy @lientje1967 @Dirk_van_Mourik @VVD @D66 @cdavandaag @christenunie Tuurlijk strijder, Tuurlijk. En nu aan\xe2\x80\xa6 https://t.co/azmCFxakqO'"
Poisoni51179073,1460629798456283140,2021-11-16 15:24:15,b'@Villemain @PieterOmtzigt #WNW'
radkohagen,1460629560119209988,2021-11-16 15:23:18,b'@thierrybaudet #wnw'
BeaBrikky,1460628364906090500,2021-11-16 15:18:34,b'@pont_tim @KAFKA_Dev #wnw'
BeaBrikky,1460628275445874694,2021-11-16 15:18:12,b'@ontevreden16 @KAFKA_Dev #wnw'
ArendRuisman,1460627172360704004,2021-11-16 15:13:49,b'@Bonkefiker1 @Charlot2409 #WNW #block'
ErikDeVlieger1,1460626044499775491,2021-11-16 15:09:20,b'@Doornbosch_ @overveenerick #wnw https://t.co/3umxLqVIDS'
Stiefloeder1,1460625848298614790,2021-11-16 15:08:34,b'@Koekerd3 @annagret1974 #wnw'
Stiefloeder1,1460625811812360198,2021-11-16 15:08:25,b'@opti61 @annagret1974 #wnw'
Stiefloeder1,1460625738978238468,2021-11-16 15:08:07,b'@Laetiti77281664 @annagret1974 #wnw'
NathalieJBP,1460624808400633865,2021-11-16 15:04:26,b'@Cassvrr @MrFlyingheart @HcWapmans #wnw'
ErikDeVlieger1,1460623975042760710,2021-11-16 15:01:07,b'@SebastiaanMans @maan_schev @y_gokay @thierrybaudet #wnw https://t.co/prVoH3HWrX'
Betsy16081,1460623069953892353,2021-11-16 14:57:31,b'Damn! Even #WNW vergeten \xf0\x9f\x99\x88\nTjer maakt het mij heel moeilijk!!!!!! https://t.co/TJrMy4hkUS'
HcWapmans,1460623058960629767,2021-11-16 14:57:28,b'@JordanMichielse #wnw'
pdvanhelden,1460617048040644610,2021-11-16 14:33:35,b'@fvdemocratie #wnw https://t.co/xhL9KSX5dK'
LordPengwyn,1460616670750425088,2021-11-16 14:32:05,b'@rblommestijn Raisa mag uit... Te nietszeggend voor aandacht! #wnw https://t.co/y0ssAedETQ'
pdvanhelden,1460615574791282707,2021-11-16 14:27:44,b'@rblommestijn #wnw https://t.co/xADrqfGgor'
ErikDeVlieger1,1460615142815809539,2021-11-16 14:26:01,b'@vanbrachtc @thierrybaudet #wnw https://t.co/KcN5urPM0D'
Waldeck,1460615133282148362,2021-11-16 14:25:59,b'@EmmaLee87145072 @BeaBrikky @KAFKA_Dev #wnw https://t.co/zAOeYirYYB'
ErikDeVlieger1,1460614986015907845,2021-11-16 14:25:24,b'@VlaamscheLeeuw @Vondel19 @thierrybaudet @DenkNL #wnw https://t.co/X7iXUsQFK0'
BeaBrikky,1460613908591431687,2021-11-16 14:21:07,b'@EmmaLee87145072 @KAFKA_Dev #wnw'
heiligelieke,1460613012700766209,2021-11-16 14:17:33,b'@Mia_Leeuwin @Siigii @Lovely__Wilma In plaats van de #WNW de #VAW (vaccinatie aanmoediging week)'
ErikDeVlieger1,1460609565171589121,2021-11-16 14:03:51,b'@thierrybaudet @KAFKA_Dev #wnw https://t.co/x8wgxq5yXA'
LordPengwyn,1460609301584748545,2021-11-16 14:02:48,b'@vergilius_owner @Onair58 @WiebeFilippus @KAFKA_Dev En uit! #wnw https://t.co/e3NxvwxkoN'
Chasalin,1460608837078159362,2021-11-16 14:00:58,b'@Wil1969 @Stiefloeder1 https://t.co/QZeufgXDo4\n\n#wnw'
wup5,1460606748579012612,2021-11-16 13:52:40,b'H\xc3\xa8 verdorie. Stond net op mijn lijstje  voor na #WNW \n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x91\x8b https://t.co/1KxtZmtdeP https://t.co/ldPFH4RYyP'
prochange1,1460606452498944002,2021-11-16 13:51:29,b'@Wil1969 @Stiefloeder1 @annagret1974 #wnw https://t.co/l48rVFHByB'
LordPengwyn,1460605448994934784,2021-11-16 13:47:30,"b'@EvaVlaar #wnw, met je Vlaai in je broek! https://t.co/uNchikn2Bu'"
LordPengwyn,1460602821653454850,2021-11-16 13:37:04,b'@PaulGrove8 @SarahBracke1 #wnw https://t.co/QiAqYzPUbR'
NathalieJBP,1460602700756889604,2021-11-16 13:36:35,b'@margabult #wnw'
LordPengwyn,1460601730673094659,2021-11-16 13:32:43,"b'@vanderkuijl29 @SarahBracke1 Dag ""Karen"" #wnw https://t.co/ZL2LXns6HX'"
belsammael,1460599763561238531,2021-11-16 13:24:54,b'@WimVanDuin @NUnl #wnw \xf0\x9f\x91\x80 https://t.co/xNBO27OGbj'
PostvanFenna,1460599725715968006,2021-11-16 13:24:45,b'@Joep68723925 @Ronaldvk90 @corja22 Heb ik gelezen. Zeker wat hard maar bij lange na niet zo kwetsend als wat jij do\xe2\x80\xa6 https://t.co/WXrJuX8aX9'
Zeemeermin6,1460599523026341889,2021-11-16 13:23:57,b'@Onair58 #wnw https://t.co/nKtiexD8EQ'
Doornbosch_,1460598057347727361,2021-11-16 13:18:08,b'@overveenerick Breng dat die #wnw stumpers maar eens aan het verstand.'
prochange1,1460597403699056643,2021-11-16 13:15:32,b'@FHeijblom Ik moet eerlijk zeggen dat het dit keer zwaar valt...Maar we houden ook deze #wnw stug vol!! https://t.co/ikatG3Lr36'
FHeijblom,1460595979539910659,2021-11-16 13:09:52,b'@PaulieG25643354 @Luckyclay1 @hugodejonge #wnw'
FHeijblom,1460595907242741767,2021-11-16 13:09:35,b'@PaulieG25643354 @WeedFlaminRacer @Luckyclay1 @hugodejonge #wnw'
FHeijblom,1460595861654843396,2021-11-16 13:09:24,b'@PaulieG25643354 @WeedFlaminRacer @Luckyclay1 @hugodejonge #wnw'
FHeijblom,1460595787210149894,2021-11-16 13:09:06,b'@PaulieG25643354 @Luckyclay1 @hugodejonge #wnw'
JantineBrx,1460595647929851904,2021-11-16 13:08:33,b'@Wil1969 @Stiefloeder1 @annagret1974 Aahh dat ging alweer snel. Komt goed uit op #WNW. @Mia_Leeuwin \xf0\x9f\xa4\xa3 https://t.co/qZUxTBoNcB'
AlixVvnv,1460594380612460553,2021-11-16 13:03:31,b'@AthinaNikoletta @SarahBracke1 #wnw https://t.co/nWalehM9dq'
castwitz,1460592207816269833,2021-11-16 12:54:53,b'Zo even richting AVL voor controle bij radiotherapeut. Fotootje van het Slotervaartziekenhuis maken voor\xe2\x80\xa6 https://t.co/eA5GdbatAV'
PostvanFenna,1460591843696128004,2021-11-16 12:53:26,b'@Joep68723925 @Ronaldvk90 @corja22 Wow nu is het #WNW maar mij persoonlijk aanvallen hoef ik niet te accepteren nat\xe2\x80\xa6 https://t.co/1LUhrFnEzT'
LindaNeutraal,1460590443549319184,2021-11-16 12:47:52,"b'Klopt, tijd om zij aan zij te gaan staan en de implementatie van het sociaal kredietsysteem een halt toe te roepen.\xe2\x80\xa6 https://t.co/ksYktFaW78'"
radkohagen,1460589036460990485,2021-11-16 12:42:17,b'@Onair58 Alleen dit: #wnw'
radkohagen,1460587450171076610,2021-11-16 12:35:59,b'@thierrybaudet #wnw'
ErikDeVlieger1,1460586776687484938,2021-11-16 12:33:18,b'@KAFKA_Dev @_Madebydave #wnw https://t.co/8yVlPgqRFo'
ErikDeVlieger1,1460586363514929155,2021-11-16 12:31:40,b'@EuCryptonair @KAFKA_Dev #wnw https://t.co/YSDhElN6mt'
ErikDeVlieger1,1460586146094850063,2021-11-16 12:30:48,b'@KAFKA_Dev #wnw https://t.co/P2aEdBKwXZ'
ErikDeVlieger1,1460586055867023366,2021-11-16 12:30:26,b'@KAFKA_Dev #wnw https://t.co/EgeRx5TJas'
ErikDeVlieger1,1460584718953586691,2021-11-16 12:25:08,b'@Doornbosch_ #wnw https://t.co/5O9YJhbgNS'
ErikDeVlieger1,1460584566826188800,2021-11-16 12:24:31,b'@brown_wenden #wnw https://t.co/44ynuBfPfy'
ErikDeVlieger1,1460584414052864001,2021-11-16 12:23:55,b'@TrendNederland #wnw https://t.co/MXp4URYWxv'
BroksTricky,1460584378535403527,2021-11-16 12:23:46,b'Niet alleen vergeet hij #wnw maar hij promoot ook nog eens permanente verminking en moord op kinderen! (En weigert\xe2\x80\xa6 https://t.co/R1Sj00KLc6'
ErikDeVlieger1,1460584250219114504,2021-11-16 12:23:16,b'@irEnriqueCortes #wnw https://t.co/tcUhqrDoax'
ErikDeVlieger1,1460584164466597891,2021-11-16 12:22:55,b'@GamevipN #wnw https://t.co/UKqJrtk9gF'
ErikDeVlieger1,1460584051564290056,2021-11-16 12:22:28,b'@thierrybaudet #wnw https://t.co/6tuxQzVR9G'
ErikDeVlieger1,1460583868071825415,2021-11-16 12:21:45,b'@JuicyPhotograp2 @thierrybaudet #wnw https://t.co/pSEGFRupbG'
spercyboon,1460581761692413957,2021-11-16 12:13:22,b'@vhwestfries @TvanGroningen #wnw https://t.co/2FbJtCg0Bp'
Rbor700,1460580543788163075,2021-11-16 12:08:32,"b'@MrAtari_1040ST Valt mee hoor, sommigen schroeven op waar anderen iets inbinden. En je kan natuurlijk altijd instem\xe2\x80\xa6 https://t.co/psY9481olT'"
spercyboon,1460579065090527236,2021-11-16 12:02:40,b'@Mije73210845 @MVdVeen3 @TvanGroningen #wnw https://t.co/nFvyWoS1Gy'
spercyboon,1460578849557729283,2021-11-16 12:01:48,b'@Nanishetzat #wnw https://t.co/F73UXgbqqy'
JantineBrx,1460578630044733449,2021-11-16 12:00:56,"b'@Wil1969 @Stiefloeder1 @annagret1974 #WNW, maar gerapporteerd!'"
ErikDeVlieger1,1460578125306372098,2021-11-16 11:58:55,b'@coco_allo @attjekuiken #wnw https://t.co/MQo8ldI0TB'
ErikDeVlieger1,1460577956301086720,2021-11-16 11:58:15,b'@madelief114 @attjekuiken #wnw https://t.co/mSRsKLvvOc'
ErikDeVlieger1,1460577794921017352,2021-11-16 11:57:37,b'@AntoinettaJongh @attjekuiken #wnw https://t.co/7LSIbHHGBf'
MrAtari_1040ST,1460577758552236035,2021-11-16 11:57:28,b'@Rbor700 Is die trending hastag van malle Thierry gevolg van #wnw? Want nu krijgen wappies natuurlijk geen of minder tegengas meer...'
ErikDeVlieger1,1460577598971465729,2021-11-16 11:56:50,b'@Palos11 @RTLnieuws #wnw https://t.co/1zkCpQhBQc'
NathalieJBP,1460577435506954243,2021-11-16 11:56:11,b'@catalan_rob @DokterMama Ok dokter Twitter. En nu weer terug naar je eigen leest! #wnw'
katwaay,1460575486808104967,2021-11-16 11:48:26,b'@MerlotVine #wnw https://t.co/FAqmU4fylU'
katwaay,1460573151612522497,2021-11-16 11:39:10,b'En nog wat leuks gebeurd in wappieland waar we niet op reageren? #wnw https://t.co/qHnAzmrsdv'
WVuik,1460573083098656777,2021-11-16 11:38:53,"b'RT @ElPasYou_2: Ja, ja. \xf0\x9f\x98\xa0\n\nHet is #wnw maar deze is gewoon te grappig. https://t.co/xwFB5ww2ab'"
FHeijblom,1460572532025737220,2021-11-16 11:36:42,b'@HToverheks En iemand die zegt dat de vaccins experimenteel zijn en ik heb daar een perfect draadje voor! #wnw is echt lastig!'
MichielKlomp75,1460572343399501824,2021-11-16 11:35:57,b'Zou het dan echt?? \xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xf0\x9f\x98\x8e #WNW https://t.co/tLhh20q98F'
ElPasYou_2,1460571277870223362,2021-11-16 11:31:43,b'@ronaldvanvoren @DutchSensei1 #wnw https://t.co/5SN1c27XsR'
WittgensteinsR,1460571120789299207,2021-11-16 11:31:05,b'@annagret1974 #WNW https://t.co/GUfXbnrA6f'
WittgensteinsR,1460570890136174603,2021-11-16 11:30:10,b'@Wil1969 @Stiefloeder1 @annagret1974 #WNW https://t.co/qTBqujeHN2'
belsammael,1460569767476187137,2021-11-16 11:25:43,b'@Hallo12345620 @vanranstmarc #wnw \xf0\x9f\x91\x80'
raoulstauke,1460569644381655052,2021-11-16 11:25:13,b'@Preuv @Pekadria @NOS #wnw https://t.co/8gSH7JAXqs'
WittgensteinsR,1460569026862751747,2021-11-16 11:22:46,b'@thierrybaudet @robertpijkeren #WNW https://t.co/hMx7ZHty6S'
WittgensteinsR,1460568972357779457,2021-11-16 11:22:33,b'@robertpijkeren #WNW https://t.co/KzVsxHwv6g'
MichielKlomp75,1460568962496925703,2021-11-16 11:22:31,"b""@complotremover Ik kan serieus m'n lach niet meer inhouden met Willempie......\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #stopwillemengel #WNW https://t.co/9rxyGoL3Z3"""
WittgensteinsR,1460568867613384705,2021-11-16 11:22:08,b'@robertpijkeren #WNW https://t.co/y6zGBf7rzi'
WittgensteinsR,1460568782611652613,2021-11-16 11:21:48,b'@JennifervdBelt @robertpijkeren #WNW https://t.co/9T27YBHREY'
WittgensteinsR,1460568645600489472,2021-11-16 11:21:15,b'@robertpijkeren #WNW https://t.co/26Sx5K66LT'
WittgensteinsR,1460568558879092739,2021-11-16 11:20:55,b'@robertpijkeren #WNW https://t.co/GeJqEPXjJQ'
WittgensteinsR,1460568393300463617,2021-11-16 11:20:15,b'@robertpijkeren #WNW https://t.co/HE29Xb3jwd'
WittgensteinsR,1460568280440217601,2021-11-16 11:19:48,b'@robertpijkeren #WNW https://t.co/II8kBhcTbw'
WittgensteinsR,1460568102257713155,2021-11-16 11:19:06,b'@TheoHorneman @robertpijkeren #WNW https://t.co/ojK0i7FGGI'
WittgensteinsR,1460567879682867203,2021-11-16 11:18:13,b'@Urwrstnghtmare2 @robertpijkeren #WNW https://t.co/Qpv3A2d0Kl'
FHeijblom,1460566041323577344,2021-11-16 11:10:54,b'@PaulieG25643354 @Luckyclay1 @hugodejonge #wnw\nhttps://t.co/3dyZProcou'
FHeijblom,1460565963410190345,2021-11-16 11:10:36,b'@PaulieG25643354 @WeedFlaminRacer @Luckyclay1 @hugodejonge #wnw https://t.co/mcqhIeMro5'
FHeijblom,1460565854114959360,2021-11-16 11:10:10,b'@PaulieG25643354 @WeedFlaminRacer @Luckyclay1 @hugodejonge #wnw https://t.co/F6NJD0NLho'
Barbes_NL,1460565807872856071,2021-11-16 11:09:59,b'Als ik een conversatie onder de hashtag #wnw probeer te lezen \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/U4bk9uLm75'
FHeijblom,1460565772695216132,2021-11-16 11:09:50,b'@PaulieG25643354 @WeedFlaminRacer @Luckyclay1 @hugodejonge #wnw https://t.co/GmROULhQxK'
FHeijblom,1460565638611714048,2021-11-16 11:09:18,b'@PaulieG25643354 @WeedFlaminRacer @Luckyclay1 @hugodejonge #wnw https://t.co/oN5nZkkieQ'
FHeijblom,1460565456046247940,2021-11-16 11:08:35,b'@PaulieG25643354 @WeedFlaminRacer @Luckyclay1 @hugodejonge #wnw https://t.co/hl7HnMJ66q'
NathalieJBP,1460565407513956352,2021-11-16 11:08:23,b'@SvensTweet #wnw'
FHeijblom,1460565306611490817,2021-11-16 11:07:59,b'@PaulieG25643354 @Luckyclay1 @hugodejonge Ik kwam er net achter dat het #wnw is. Dus ik gaje vanaf nu negeren. \n(He\xe2\x80\xa6 https://t.co/F0Zimb3NIk'
FHeijblom,1460564626828152838,2021-11-16 11:05:17,b'@EngelBengel4 Ja! #wnw https://t.co/NTgebMX4XK'
Thcisok2,1460563737455251459,2021-11-16 11:01:45,"b""RT @BroksTricky: And that's the spirit.\nDie schapen krijgen we toch niet meer wakker zijn onze aandacht niet waard en verspillen onze tijd.\xe2\x80\xa6"""
MrFlyingheart,1460562368040218628,2021-11-16 10:56:19,b'@Stilste @WeThePe55239451 @Marc_Veld @molientjedemol @Missymissie12 @GarageRemus @Karnemelkpak @Lauwke3 @Doc_Box\xe2\x80\xa6 https://t.co/91RRbyQv9F'
NathalieJBP,1460561642748583943,2021-11-16 10:53:26,b'@thierrybaudet #wnw'
DWVM2,1460561559072264194,2021-11-16 10:53:06,b'@davidconsigne wie? #wnw graag..!'
NathalieJBP,1460561323381645312,2021-11-16 10:52:10,b'@thierrybaudet #wnw https://t.co/vXinkY35w7'
WittgensteinsR,1460561131366457345,2021-11-16 10:51:24,b'@MJRLdeGraaff @RMBras1973 #WNW https://t.co/x58zvLns8Z'
wup5,1460560943373504514,2021-11-16 10:50:39,"b'Wap met een grote mond. \nVooruit, omdat het #WNW is....... alleen rapporteren dan maar. \xf0\x9f\x91\x8b\xf0\x9f\x91\x8b https://t.co/wQaLDFBiWM'"
NathalieJBP,1460560887127973895,2021-11-16 10:50:26,b'@Stiefloeder1 Ik heb er meteen maar even een #wnw onder gegooit. Weer zo een drama queen \xf0\x9f\x98\x82'
NathalieJBP,1460560687298719755,2021-11-16 10:49:38,b'@annagret1974 #wnw'
RemonHollander,1460560655120019458,2021-11-16 10:49:30,b'@Rbor700 Heel slecht! #wnw'
Stiefloeder1,1460560549595521024,2021-11-16 10:49:05,b'@Wil1969 #wnw'
WittgensteinsR,1460559511807217665,2021-11-16 10:44:58,b'@Knijn8 @HenriVersteeg @ThomasInLeiden @FritsLoda @doncamillo2021 @RF_HFC #WNW https://t.co/Gy9MWyijQo'
WittgensteinsR,1460559275546353666,2021-11-16 10:44:01,b'@FritsLoda @doncamillo2021 @RF_HFC #WNW https://t.co/dTxinE9gYQ'
WittgensteinsR,1460559005789609988,2021-11-16 10:42:57,b'@RF_HFC #WNW https://t.co/qDKYBOG0Fw'
HerrEngelbert,1460557133020381190,2021-11-16 10:35:31,b'@LuitzenNijdam @thierrybaudet #wnw'
DeBlocker4,1460557048903520258,2021-11-16 10:35:10,b'@Rbor700 Sorry heb gezondigd.. #wnw'
LindaNeutraal,1460556963507589123,2021-11-16 10:34:50,"b""RT @BroksTricky: And that's the spirit.\nDie schapen krijgen we toch niet meer wakker zijn onze aandacht niet waard en verspillen onze tijd.\xe2\x80\xa6"""
prochange1,1460556923972079618,2021-11-16 10:34:41,b'Een mooie toevoeging tijdens de #wnw. #BaudetHeeftOngelijk https://t.co/RYf3aQ4IDj'
FHeijblom,1460554510003318785,2021-11-16 10:25:05,b'Het is dag 2 #wnw! Houdt iedereen het een beetje vol? https://t.co/exAKFdL6bM'
FHeijblom,1460554067697192961,2021-11-16 10:23:20,b'@Luckyclay1 @PaulieG25643354 @hugodejonge Ga je vanaf nu ook mee doen met wappie negeer week. (Kwam er net achter dat het #wnw is \xf0\x9f\x98\x85)'
Stiefloeder1,1460553193356763137,2021-11-16 10:19:51,b'@karint7701 @annagret1974 @William93105180 Keuzes en consequenties #wnw'
LindaNeutraal,1460551780811554816,2021-11-16 10:14:14,b'Toch fijn dat #wnw zo weinig succesvol is. https://t.co/sMisWuWutz'
GaitGerritje,1460549125938855937,2021-11-16 10:03:41,b'@lizzondance @jpaternotte #wnw https://t.co/XfG9Bo8lKu'
njmidm,1460548029254152195,2021-11-16 09:59:20,b'@Simone51716230 @Onlinemirrie @lientje1967 @Marc_Veld #WNW \xf0\x9f\x91\x87 \xf0\x9f\xa4\xac https://t.co/v2FLeG289d'
radkohagen,1460546763010490370,2021-11-16 09:54:18,b'@thierrybaudet #wnw'
prochange1,1460545380739960832,2021-11-16 09:48:49,b'@ShopFashion24 @Mia_Leeuwin @Lovely__Wilma @M_the_Lion #wnw https://t.co/m89pvyeIBy'
OneOfUsAll1,1460544022875975683,2021-11-16 09:43:25,b'@wierdduk @nielskalkman #wnw'
anjohejowi,1460544001409441800,2021-11-16 09:43:20,b'@mariannezw Kijk eens onder #wnw .....\xf0\x9f\x98\x89'
lentezonnetje,1460543910862852097,2021-11-16 09:42:58,b'@DonatelloPiras #wnw'
WittgensteinsR,1460543733921943556,2021-11-16 09:42:16,b'@kwo_vadis @VermeylenS @neyts_johan @FT #WNW https://t.co/yESnW9gwhB'
WittgensteinsR,1460543500752199685,2021-11-16 09:41:20,b'@Mr_Novax @neyts_johan @FT #WNW https://t.co/1peA4GYX9z'
WittgensteinsR,1460543243028946950,2021-11-16 09:40:19,b'@kurtrenierske @neyts_johan @FT #WNW https://t.co/yrtsy0qPvX'
